timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674428000672,4723,https://blazedemo.com/index.php,200,OK,Thread Group 1-4,text,true,,288042,3113,6,6,https://blazedemo.com/index.php,2082,0,1565
1674428000672,2094,https://blazedemo.com/index.php-0,200,OK,Thread Group 1-4,text,true,,4757,503,6,6,https://blazedemo.com/index.php,2082,0,1565
1674428002809,1496,https://blazedemo.com/index.php-1,200,OK,Thread Group 1-4,text,true,,83982,536,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,224,0,114
1674428002826,2569,https://blazedemo.com/index.php-2,200,OK,Thread Group 1-4,text,true,,28981,517,6,6,https://blazedemo.com/assets/bootstrap.min.js,1928,0,1322
1674428002817,1707,https://blazedemo.com/index.php-3,200,OK,Thread Group 1-4,text,true,,39488,519,6,6,https://blazedemo.com/assets/bootstrap-table.js,1155,0,584
1674428002821,1876,https://blazedemo.com/index.php-4,200,OK,Thread Group 1-4,text,true,,126767,518,6,6,https://blazedemo.com/assets/bootstrap.min.css,325,0,0
1674428002817,1222,https://blazedemo.com/index.php-5,200,OK,Thread Group 1-4,text,true,,4067,520,6,6,https://blazedemo.com/assets/bootstrap-table.css,1198,0,584
1674428000670,4723,Open the site,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,288042,3113,6,6,null,2082,19,1565
1674428000517,5413,https://blazedemo.com/index.php,200,OK,Thread Group 1-3,text,true,,288042,3113,6,6,https://blazedemo.com/index.php,2156,0,1711
1674428000517,2161,https://blazedemo.com/index.php-0,200,OK,Thread Group 1-3,text,true,,4757,503,6,6,https://blazedemo.com/index.php,2156,0,1711
1674428002828,1489,https://blazedemo.com/index.php-1,200,OK,Thread Group 1-3,text,true,,83982,536,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,244,0,96
1674428002830,2657,https://blazedemo.com/index.php-2,200,OK,Thread Group 1-3,text,true,,28981,517,6,6,https://blazedemo.com/assets/bootstrap.min.js,1958,0,1324
1674428002814,846,https://blazedemo.com/index.php-3,200,OK,Thread Group 1-3,text,true,,39488,519,6,6,https://blazedemo.com/assets/bootstrap-table.js,319,0,0
1674428002814,2962,https://blazedemo.com/index.php-4,200,OK,Thread Group 1-3,text,true,,126767,518,6,6,https://blazedemo.com/assets/bootstrap.min.css,1153,0,554
1674428002827,3103,https://blazedemo.com/index.php-5,200,OK,Thread Group 1-3,text,true,,4067,520,6,6,https://blazedemo.com/assets/bootstrap-table.css,3101,0,2793
1674428000516,5413,Open the site,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,288042,3113,6,6,null,2156,5,1711
1674428000347,5825,https://blazedemo.com/index.php,200,OK,Thread Group 1-2,text,true,,288042,3113,6,6,https://blazedemo.com/index.php,2333,0,1890
1674428000347,2347,https://blazedemo.com/index.php-0,200,OK,Thread Group 1-2,text,true,,4757,503,6,6,https://blazedemo.com/index.php,2333,0,1890
1674428002814,3358,https://blazedemo.com/index.php-1,200,OK,Thread Group 1-2,text,true,,83982,536,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,2367,0,1473
1674428002814,1664,https://blazedemo.com/index.php-2,200,OK,Thread Group 1-2,text,true,,28981,517,6,6,https://blazedemo.com/assets/bootstrap.min.js,1165,0,554
1674428002814,687,https://blazedemo.com/index.php-3,200,OK,Thread Group 1-2,text,true,,39488,519,6,6,https://blazedemo.com/assets/bootstrap-table.js,265,0,0
1674428002820,3185,https://blazedemo.com/index.php-4,200,OK,Thread Group 1-2,text,true,,126767,518,6,6,https://blazedemo.com/assets/bootstrap.min.css,2009,0,1443
1674428002829,1272,https://blazedemo.com/index.php-5,200,OK,Thread Group 1-2,text,true,,4067,520,6,6,https://blazedemo.com/assets/bootstrap-table.css,1257,0,631
1674428000344,5825,Open the site,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,288042,3113,6,6,null,2333,4,1890
1674428000836,5343,https://blazedemo.com/index.php,200,OK,Thread Group 1-5,text,true,,288042,3113,6,6,https://blazedemo.com/index.php,1931,0,1399
1674428000836,1944,https://blazedemo.com/index.php-0,200,OK,Thread Group 1-5,text,true,,4757,503,6,6,https://blazedemo.com/index.php,1931,0,1399
1674428002822,3357,https://blazedemo.com/index.php-1,200,OK,Thread Group 1-5,text,true,,83982,536,6,6,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,2360,0,1471
1674428002813,1682,https://blazedemo.com/index.php-2,200,OK,Thread Group 1-5,text,true,,28981,517,6,6,https://blazedemo.com/assets/bootstrap.min.js,1195,0,592
1674428002809,699,https://blazedemo.com/index.php-3,200,OK,Thread Group 1-5,text,true,,39488,519,6,6,https://blazedemo.com/assets/bootstrap-table.js,284,0,0
1674428002823,2986,https://blazedemo.com/index.php-4,200,OK,Thread Group 1-5,text,true,,126767,518,6,6,https://blazedemo.com/assets/bootstrap.min.css,1275,0,632
1674428002818,2009,https://blazedemo.com/index.php-5,200,OK,Thread Group 1-5,text,true,,4067,520,6,6,https://blazedemo.com/assets/bootstrap-table.css,1969,0,1338
